account_id,type,amount,recipient_account,description,date
100346,WITHDRAW,4129.55,,Paiement carte bancaire - 4129.55 MAD,2024-08-14 20:01:52
100238,WITHDRAW,1370.86,,Retrait bancaire - 1370.86 MAD,2024-08-14 22:50:22
100149,WITHDRAW,356.55,,Retrait bancaire - 356.55 MAD,2024-08-15 00:00:50
100597,TRANSFER,4055.68,100117,Paiement de facture - 4055.68 MAD,2024-08-15 02:51:56
100339,TRANSFER,1879.15,100291,Paiement de facture - 1879.15 MAD,2024-08-15 06:32:43
100362,DEPOSIT,1955.33,,Dépôt par chèque - 1955.33 MAD,2024-08-15 09:10:39
100033,TRANSFER,1582.23,100524,Paiement de loyer - 1582.23 MAD,2024-08-15 14:10:46
100110,DEPOSIT,3229.7,,Versement client - 3229.7 MAD,2024-08-15 17:07:18
100338,DEPOSIT,2846.19,,Dépôt de salaire - 2846.19 MAD,2024-08-15 17:48:31
100268,TRANSFER,2995.36,100059,Paiement de facture - 2995.36 MAD,2024-08-15 20:42:45
100235,WITHDRAW,4299.39,,Retrait en espèces - 4299.39 MAD,2024-08-15 23:46:53
100174,TRANSFER,2424.79,100277,Transfert international - 2424.79 MAD,2024-08-16 01:46:49
100184,TRANSFER,1804.58,100333,Transfert international - 1804.58 MAD,2024-08-16 02:29:07
100181,DEPOSIT,2268.93,,Prime annuelle - 2268.93 MAD,2024-08-16 04:48:00
100578,TRANSFER,3563.91,100593,Virement vers épargne - 3563.91 MAD,2024-08-16 12:46:58
100250,TRANSFER,2609.77,100202,Virement vers épargne - 2609.77 MAD,2024-08-16 14:05:54
100294,DEPOSIT,2442.66,,Remboursement - 2442.66 MAD,2024-08-16 16:18:42
100314,WITHDRAW,422.44,,Retrait bancaire - 422.44 MAD,2024-08-16 17:18:58
100030,TRANSFER,2904.04,100176,Paiement fournisseur - 2904.04 MAD,2024-08-16 17:56:57
100364,TRANSFER,2634.83,100246,Transfert international - 2634.83 MAD,2024-08-16 19:50:03
100571,WITHDRAW,558.97,,Retrait guichet - 558.97 MAD,2024-08-16 19:56:36
100419,TRANSFER,3957.43,100599,Paiement fournisseur - 3957.43 MAD,2024-08-16 20:15:33
100082,WITHDRAW,394.77,,Retrait bancaire - 394.77 MAD,2024-08-16 23:12:24
100400,TRANSFER,4320.8,100512,Virement familial - 4320.8 MAD,2024-08-16 23:31:53
100334,WITHDRAW,1436.63,,Retrait en espèces - 1436.63 MAD,2024-08-17 02:08:42
