account_id,type,amount,recipient_account,description,date
100193,TRANSFER,730.32,100105,Virement loyer - 730.32 EUR,2024-08-17 12:35:03
100109,WITHDRAW,295.28,,Prélèvement - 295.28 EUR,2024-08-17 13:19:13
100174,DEPOSIT,399.27,,Remboursement - 399.27 EUR,2024-08-17 16:03:48
100194,DEPOSIT,563.77,,Paiement freelance - 563.77 EUR,2024-08-17 17:01:48
100068,TRANSFER,816.14,100094,Virement loyer - 816.14 EUR,2024-08-17 17:18:55
100147,TRANSFER,910.67,100055,Partage dépense - 910.67 EUR,2024-08-17 18:57:09
100078,DEPOSIT,899.54,,Virement client - 899.54 EUR,2024-08-17 21:27:09
100171,WITHDRAW,428.57,,Achat en ligne - 428.57 EUR,2024-08-18 08:28:48
100049,DEPOSIT,962.27,,Paiement freelance - 962.27 EUR,2024-08-18 10:32:24
100192,WITHDRAW,245.17,,Retrait DAB - 245.17 EUR,2024-08-18 13:22:30
100052,WITHDRAW,861.01,,Achat en ligne - 861.01 EUR,2024-08-18 19:32:54
100102,WITHDRAW,71.97,,Prélèvement - 71.97 EUR,2024-08-19 00:50:37
100169,TRANSFER,971.13,100018,Cotisation club - 971.13 EUR,2024-08-19 01:15:19
100183,TRANSFER,418.57,100026,Partage dépense - 418.57 EUR,2024-08-19 01:39:13
100013,TRANSFER,653.61,100160,Remboursement ami - 653.61 EUR,2024-08-19 01:49:58
100028,TRANSFER,355.89,100188,Paiement event - 355.89 EUR,2024-08-19 03:02:10
100132,TRANSFER,49.24,100112,Cotisation club - 49.24 EUR,2024-08-19 05:23:09
100095,TRANSFER,449.93,100061,Cotisation club - 449.93 EUR,2024-08-19 09:06:10
100113,WITHDRAW,172.3,,Abonnement mensuel - 172.3 EUR,2024-08-19 11:11:21
100183,TRANSFER,579.42,100031,Cotisation club - 579.42 EUR,2024-08-19 12:49:25
100199,WITHDRAW,354.14,,Prélèvement - 354.14 EUR,2024-08-19 14:57:10
100138,WITHDRAW,962.74,,Prélèvement - 962.74 EUR,2024-08-19 20:04:09
100028,TRANSFER,543.12,100149,Virement loyer - 543.12 EUR,2024-08-19 20:06:28
100025,TRANSFER,247.43,100059,Remboursement ami - 247.43 EUR,2024-08-19 21:05:43
100180,DEPOSIT,305.48,,Prime projet - 305.48 EUR,2024-08-19 22:08:16
100052,WITHDRAW,194.2,,Paiement CB - 194.2 EUR,2024-08-20 03:38:36
100035,DEPOSIT,702.63,,Prime projet - 702.63 EUR,2024-08-20 10:05:07
100044,TRANSFER,494.52,100187,Cotisation club - 494.52 EUR,2024-08-20 11:47:42
100126,WITHDRAW,701.62,,Achat en ligne - 701.62 EUR,2024-08-20 18:14:45
100139,DEPOSIT,853.65,,Prime projet - 853.65 EUR,2024-08-20 19:16:02
100069,WITHDRAW,931.77,,Abonnement mensuel - 931.77 EUR,2024-08-20 19:39:49
100190,TRANSFER,902.8,100048,Paiement colocation - 902.8 EUR,2024-08-20 19:46:40
100056,WITHDRAW,904.93,,Abonnement mensuel - 904.93 EUR,2024-08-21 00:36:00
100068,DEPOSIT,146.76,,Prime projet - 146.76 EUR,2024-08-21 07:00:11
100126,TRANSFER,718.21,100193,Cotisation club - 718.21 EUR,2024-08-21 08:11:34
100159,TRANSFER,32.62,100185,Paiement event - 32.62 EUR,2024-08-21 09:59:51
100127,WITHDRAW,165.77,,Achat en ligne - 165.77 EUR,2024-08-21 17:19:40
100048,DEPOSIT,61.88,,Bonus performance - 61.88 EUR,2024-08-22 01:19:02
100057,DEPOSIT,683.08,,Virement client - 683.08 EUR,2024-08-22 01:26:15
100187,DEPOSIT,505.25,,Prime projet - 505.25 EUR,2024-08-22 11:43:57
100135,DEPOSIT,376.17,,Prime projet - 376.17 EUR,2024-08-22 12:01:40
100143,DEPOSIT,819.24,,Versement - 819.24 EUR,2024-08-22 19:53:11
100083,TRANSFER,883.63,100136,Paiement event - 883.63 EUR,2024-08-22 21:04:25
100188,TRANSFER,907.26,100008,Paiement colocation - 907.26 EUR,2024-08-22 22:01:21
100195,TRANSFER,631.79,100017,Remboursement ami - 631.79 EUR,2024-08-23 01:15:25
100108,DEPOSIT,186.11,,Paiement freelance - 186.11 EUR,2024-08-23 02:50:39
100160,WITHDRAW,537.05,,Paiement CB - 537.05 EUR,2024-08-23 03:15:47
100141,WITHDRAW,989.1,,Facture service - 989.1 EUR,2024-08-23 04:47:31
100043,TRANSFER,396.99,100185,Cotisation club - 396.99 EUR,2024-08-23 05:21:26
100143,WITHDRAW,407.73,,Retrait DAB - 407.73 EUR,2024-08-23 07:08:45
100087,TRANSFER,32.55,100196,Paiement colocation - 32.55 EUR,2024-08-23 07:08:59
100161,DEPOSIT,372.83,,Remboursement - 372.83 EUR,2024-08-23 07:14:42
100141,DEPOSIT,883.02,,Dépôt salaire - 883.02 EUR,2024-08-23 12:32:34
100194,WITHDRAW,337.52,,Achat en ligne - 337.52 EUR,2024-08-23 15:50:26
100026,WITHDRAW,598.31,,Prélèvement - 598.31 EUR,2024-08-23 20:09:10
100173,TRANSFER,238.08,100095,Cotisation club - 238.08 EUR,2024-08-23 20:37:38
100152,DEPOSIT,513.88,,Versement - 513.88 EUR,2024-08-23 21:23:17
100136,DEPOSIT,237.68,,Remboursement - 237.68 EUR,2024-08-23 22:17:45
100134,DEPOSIT,214.77,,Bonus performance - 214.77 EUR,2024-08-24 01:24:33
100120,WITHDRAW,72.02,,Paiement CB - 72.02 EUR,2024-08-24 01:45:35
100126,TRANSFER,580.81,100130,Virement loyer - 580.81 EUR,2024-08-24 02:09:25
100144,DEPOSIT,771.59,,Prime projet - 771.59 EUR,2024-08-24 04:36:58
100140,WITHDRAW,41.87,,Retrait DAB - 41.87 EUR,2024-08-24 06:13:50
100032,DEPOSIT,292.71,,Bonus performance - 292.71 EUR,2024-08-24 08:17:54
100190,TRANSFER,142.43,100025,Paiement colocation - 142.43 EUR,2024-08-24 09:01:26
100148,WITHDRAW,86.94,,Paiement CB - 86.94 EUR,2024-08-24 10:17:08
100194,WITHDRAW,381.57,,Abonnement mensuel - 381.57 EUR,2024-08-24 10:52:32
100032,DEPOSIT,411.24,,Dépôt salaire - 411.24 EUR,2024-08-24 14:54:11
100102,WITHDRAW,479.11,,Facture service - 479.11 EUR,2024-08-24 15:47:23
100055,WITHDRAW,696.13,,Abonnement mensuel - 696.13 EUR,2024-08-24 18:57:37
100198,WITHDRAW,992.23,,Retrait DAB - 992.23 EUR,2024-08-24 21:41:05
100140,TRANSFER,870.16,100191,Remboursement ami - 870.16 EUR,2024-08-24 22:18:13
100175,DEPOSIT,452.47,,Prime projet - 452.47 EUR,2024-08-24 22:30:59
100086,DEPOSIT,935.85,,Remboursement - 935.85 EUR,2024-08-24 23:09:26
100013,TRANSFER,236.79,100141,Paiement colocation - 236.79 EUR,2024-08-24 23:44:27
100060,WITHDRAW,680.69,,Retrait DAB - 680.69 EUR,2024-08-25 00:20:24
100003,DEPOSIT,334.32,,Paiement freelance - 334.32 EUR,2024-08-25 04:30:44
100095,TRANSFER,299.22,100102,Virement loyer - 299.22 EUR,2024-08-25 08:38:50
100196,DEPOSIT,293.22,,Bonus performance - 293.22 EUR,2024-08-25 09:21:56
100028,WITHDRAW,457.75,,Retrait DAB - 457.75 EUR,2024-08-25 11:40:42
100015,WITHDRAW,909.86,,Abonnement mensuel - 909.86 EUR,2024-08-25 11:46:12
100079,WITHDRAW,677.97,,Abonnement mensuel - 677.97 EUR,2024-08-25 12:03:46
100045,WITHDRAW,769.95,,Facture service - 769.95 EUR,2024-08-25 12:33:34
100089,DEPOSIT,727.85,,Bonus performance - 727.85 EUR,2024-08-25 12:56:05
100197,WITHDRAW,198.48,,Abonnement mensuel - 198.48 EUR,2024-08-25 13:00:02
100159,TRANSFER,308.18,100132,Partage dépense - 308.18 EUR,2024-08-25 13:18:35
100043,DEPOSIT,922.57,,Prime projet - 922.57 EUR,2024-08-25 14:05:18
100044,WITHDRAW,652.51,,Prélèvement - 652.51 EUR,2024-08-25 17:16:19
100172,TRANSFER,840.98,100076,Cotisation club - 840.98 EUR,2024-08-25 19:55:06
100185,DEPOSIT,331.28,,Remboursement - 331.28 EUR,2024-08-25 21:50:40
100187,WITHDRAW,73.26,,Paiement CB - 73.26 EUR,2024-08-25 22:30:44
100071,WITHDRAW,537.74,,Abonnement mensuel - 537.74 EUR,2024-08-26 01:12:44
100090,DEPOSIT,983.82,,Paiement freelance - 983.82 EUR,2024-08-26 02:27:18
100145,DEPOSIT,268.71,,Dépôt salaire - 268.71 EUR,2024-08-26 04:47:14
100138,TRANSFER,227.77,100152,Partage dépense - 227.77 EUR,2024-08-26 11:38:09
100141,WITHDRAW,921.29,,Achat en ligne - 921.29 EUR,2024-08-26 12:56:07
100130,DEPOSIT,779.44,,Bonus performance - 779.44 EUR,2024-08-26 18:06:13
100124,TRANSFER,294.88,100026,Remboursement ami - 294.88 EUR,2024-08-26 20:44:22
100135,DEPOSIT,672.56,,Paiement freelance - 672.56 EUR,2024-08-26 21:55:26
100131,TRANSFER,64.67,100001,Virement loyer - 64.67 EUR,2024-08-27 00:02:15
100093,TRANSFER,802.61,100116,Paiement event - 802.61 EUR,2024-08-27 00:37:09
100063,DEPOSIT,444.32,,Versement - 444.32 EUR,2024-08-27 02:58:12
100101,WITHDRAW,198.42,,Abonnement mensuel - 198.42 EUR,2024-08-27 04:49:12
100095,TRANSFER,610.08,100053,Paiement colocation - 610.08 EUR,2024-08-27 05:03:02
100164,WITHDRAW,602.17,,Abonnement mensuel - 602.17 EUR,2024-08-27 05:54:49
100046,DEPOSIT,956.31,,Paiement freelance - 956.31 EUR,2024-08-27 06:51:46
100053,WITHDRAW,570.88,,Prélèvement - 570.88 EUR,2024-08-27 09:39:30
100099,DEPOSIT,44.54,,Virement client - 44.54 EUR,2024-08-27 09:42:50
100096,WITHDRAW,93.45,,Abonnement mensuel - 93.45 EUR,2024-08-27 11:57:13
100040,WITHDRAW,974.85,,Prélèvement - 974.85 EUR,2024-08-27 12:15:44
100146,DEPOSIT,294.71,,Remboursement - 294.71 EUR,2024-08-27 13:26:48
100153,TRANSFER,951.84,100198,Virement loyer - 951.84 EUR,2024-08-27 13:30:35
100002,WITHDRAW,190.2,,Retrait DAB - 190.2 EUR,2024-08-27 16:49:14
100070,WITHDRAW,79.64,,Prélèvement - 79.64 EUR,2024-08-27 21:57:57
100183,TRANSFER,430.36,100157,Paiement event - 430.36 EUR,2024-08-28 04:26:57
100187,TRANSFER,590.01,100129,Paiement colocation - 590.01 EUR,2024-08-28 06:45:56
100016,DEPOSIT,421.22,,Dépôt salaire - 421.22 EUR,2024-08-28 11:58:28
100048,WITHDRAW,614.39,,Achat en ligne - 614.39 EUR,2024-08-28 12:05:55
100146,TRANSFER,291.21,100192,Cotisation club - 291.21 EUR,2024-08-28 14:04:01
100117,DEPOSIT,364.57,,Remboursement - 364.57 EUR,2024-08-28 14:05:55
100178,WITHDRAW,101.43,,Facture service - 101.43 EUR,2024-08-28 14:23:18
100123,TRANSFER,826.38,100161,Paiement event - 826.38 EUR,2024-08-28 15:10:28
100092,TRANSFER,382.07,100039,Remboursement ami - 382.07 EUR,2024-08-28 18:45:26
100034,TRANSFER,939.39,100001,Partage dépense - 939.39 EUR,2024-08-28 20:05:43
100191,WITHDRAW,32.29,,Prélèvement - 32.29 EUR,2024-08-28 21:02:16
100180,DEPOSIT,36.74,,Versement - 36.74 EUR,2024-08-28 22:51:58
100150,DEPOSIT,198.83,,Prime projet - 198.83 EUR,2024-08-29 00:02:09
100138,WITHDRAW,655.89,,Abonnement mensuel - 655.89 EUR,2024-08-29 00:46:05
100153,TRANSFER,968.67,100034,Paiement event - 968.67 EUR,2024-08-29 06:12:33
100158,WITHDRAW,21.68,,Facture service - 21.68 EUR,2024-08-29 06:39:32
100131,DEPOSIT,65.13,,Virement client - 65.13 EUR,2024-08-29 07:22:49
100167,DEPOSIT,697.63,,Remboursement - 697.63 EUR,2024-08-29 07:27:08
100123,DEPOSIT,568.49,,Remboursement - 568.49 EUR,2024-08-29 09:07:12
100045,TRANSFER,257.23,100153,Paiement event - 257.23 EUR,2024-08-29 10:42:12
100062,DEPOSIT,974.42,,Versement - 974.42 EUR,2024-08-29 11:29:06
100161,DEPOSIT,343.36,,Versement - 343.36 EUR,2024-08-29 12:22:25
100126,TRANSFER,955.13,100004,Paiement event - 955.13 EUR,2024-08-29 16:29:41
100003,WITHDRAW,707.54,,Paiement CB - 707.54 EUR,2024-08-29 18:19:55
100044,TRANSFER,174.34,100055,Paiement event - 174.34 EUR,2024-08-29 21:41:51
100010,TRANSFER,298.23,100036,Virement loyer - 298.23 EUR,2024-08-29 23:39:56
100146,WITHDRAW,993.77,,Achat en ligne - 993.77 EUR,2024-08-30 03:41:31
100092,DEPOSIT,141.87,,Prime projet - 141.87 EUR,2024-08-30 04:39:35
100056,TRANSFER,856.81,100200,Virement loyer - 856.81 EUR,2024-08-30 05:42:38
100009,TRANSFER,987.93,100197,Paiement colocation - 987.93 EUR,2024-08-30 08:22:51
100122,WITHDRAW,314.63,,Achat en ligne - 314.63 EUR,2024-08-30 08:48:21
100182,DEPOSIT,49.01,,Virement client - 49.01 EUR,2024-08-30 10:11:43
100056,TRANSFER,790.57,100192,Paiement event - 790.57 EUR,2024-08-30 11:32:42
100095,TRANSFER,971.55,100056,Remboursement ami - 971.55 EUR,2024-08-30 12:47:38
