account_id,type,amount,recipient_account,description,date
100339,TRANSFER,1844.37,100076,Virement familial - 1844.37 MAD,2024-02-11 01:32:54
100286,DEPOSIT,108.73,,Dépôt par chèque - 108.73 MAD,2024-02-11 16:00:37
100171,DEPOSIT,9672.22,,Versement client - 9672.22 MAD,2024-02-12 03:58:53
100354,TRANSFER,4304.53,100698,Virement vers épargne - 4304.53 MAD,2024-02-12 12:54:40
100181,WITHDRAW,8575.86,,Retrait au distributeur - 8575.86 MAD,2024-02-15 00:57:13
100273,TRANSFER,8018.14,100537,Paiement de facture - 8018.14 MAD,2024-02-15 02:57:40
100299,WITHDRAW,3513.05,,Paiement carte bancaire - 3513.05 MAD,2024-02-16 19:30:42
100310,DEPOSIT,5875.98,,Dépôt par chèque - 5875.98 MAD,2024-02-16 21:39:46
100212,WITHDRAW,6140.37,,Paiement carte bancaire - 6140.37 MAD,2024-02-17 05:19:08
100273,TRANSFER,1195.12,100689,Virement familial - 1195.12 MAD,2024-02-17 11:44:44
100310,DEPOSIT,5610.16,,Allocation mensuelle - 5610.16 MAD,2024-02-18 20:15:30
100453,DEPOSIT,6119.59,,Dépôt par chèque - 6119.59 MAD,2024-02-19 02:56:09
100212,TRANSFER,1001.53,100195,Paiement fournisseur - 1001.53 MAD,2024-02-19 05:26:41
100617,TRANSFER,8785.68,100486,Virement permanent - 8785.68 MAD,2024-02-19 06:31:53
100355,TRANSFER,1014.48,100027,Paiement de loyer - 1014.48 MAD,2024-02-20 00:21:32
100661,TRANSFER,4788.32,100578,Paiement de loyer - 4788.32 MAD,2024-02-20 11:38:56
100030,TRANSFER,1425.13,100355,Virement permanent - 1425.13 MAD,2024-02-21 02:03:18
100046,DEPOSIT,951.25,,Remboursement - 951.25 MAD,2024-02-21 08:47:30
100212,TRANSFER,718.56,100487,Virement permanent - 718.56 MAD,2024-02-22 04:19:39
100607,TRANSFER,9868.79,100067,Virement permanent - 9868.79 MAD,2024-02-22 22:36:02
100299,DEPOSIT,9203.77,,Versement client - 9203.77 MAD,2024-02-23 02:18:20
100171,TRANSFER,3693.88,100589,Virement familial - 3693.88 MAD,2024-02-24 13:40:54
100065,WITHDRAW,8783.09,,Paiement carte bancaire - 8783.09 MAD,2024-02-24 17:00:22
100238,WITHDRAW,3757.18,,Retrait bancaire - 3757.18 MAD,2024-02-25 04:23:10
100080,WITHDRAW,2522.25,,Retrait bancaire - 2522.25 MAD,2024-02-26 05:48:16
100270,WITHDRAW,8173.12,,Retrait guichet - 8173.12 MAD,2024-02-26 10:15:34
100642,DEPOSIT,445.87,,Dépôt par chèque - 445.87 MAD,2024-02-26 10:22:23
100065,DEPOSIT,6131.66,,Dépôt en espèces - 6131.66 MAD,2024-02-27 07:02:08
100281,TRANSFER,644.41,100760,Paiement de facture - 644.41 MAD,2024-02-27 09:19:34
100109,WITHDRAW,9514.8,,Paiement carte bancaire - 9514.8 MAD,2024-02-27 09:40:17
100760,TRANSFER,3707.83,100027,Virement permanent - 3707.83 MAD,2024-02-28 19:03:24
100310,TRANSFER,8516.3,100306,Paiement de facture - 8516.3 MAD,2024-02-28 22:17:02
100103,DEPOSIT,855.23,,Remboursement - 855.23 MAD,2024-02-29 05:40:06
100642,WITHDRAW,305.53,,Paiement carte bancaire - 305.53 MAD,2024-02-29 05:59:54
100109,TRANSFER,4927.66,100720,Paiement de loyer - 4927.66 MAD,2024-02-29 20:27:53
100607,WITHDRAW,2800.18,,Prélèvement mensuel - 2800.18 MAD,2024-03-01 04:14:55
100370,DEPOSIT,8277.95,,Dépôt par chèque - 8277.95 MAD,2024-03-02 07:55:52
100607,WITHDRAW,9689.86,,Paiement carte bancaire - 9689.86 MAD,2024-03-02 13:29:54
100323,WITHDRAW,2743.84,,Prélèvement mensuel - 2743.84 MAD,2024-03-02 20:29:50
100639,TRANSFER,9374.43,100405,Paiement de loyer - 9374.43 MAD,2024-03-04 04:28:46
100212,DEPOSIT,2384.9,,Remboursement - 2384.9 MAD,2024-03-04 05:42:33
100617,DEPOSIT,7634.57,,Remboursement - 7634.57 MAD,2024-03-05 10:00:34
100080,DEPOSIT,2921.07,,Dépôt en espèces - 2921.07 MAD,2024-03-05 11:43:42
100219,DEPOSIT,3078.17,,Dépôt de salaire - 3078.17 MAD,2024-03-06 05:26:20
100310,WITHDRAW,318.72,,Retrait au distributeur - 318.72 MAD,2024-03-06 10:02:47
100475,TRANSFER,474.94,100390,Virement familial - 474.94 MAD,2024-03-07 03:40:01
100191,DEPOSIT,1594.64,,Versement client - 1594.64 MAD,2024-03-07 06:20:30
100083,TRANSFER,7484.99,100753,Virement familial - 7484.99 MAD,2024-03-07 06:21:45
100661,TRANSFER,147.75,100216,Règlement facture - 147.75 MAD,2024-03-07 15:36:48
100355,DEPOSIT,3077.61,,Dépôt en espèces - 3077.61 MAD,2024-03-07 15:38:49
100600,TRANSFER,609.97,100207,Virement permanent - 609.97 MAD,2024-03-07 15:49:13
